row	weekday	weather	time	consumer_satisfaction	pedestrian_level	accidents_per_10K
1	Fr	rainy	overnight	32.10227848666846	6	10.676120049040026
2	Th	snowy	overnight	45.057155377948604	4	5.824085628388831
3	M	rainy	evening rush	51.718163018276485	4	3.6867004935192864
4	Su	rainy	midday	37.359969825544994	5	3.3393693959454374
5	M	rainy	evening rush	50.01949562671813	7	2.8175337535669964
6	Sa	rainy	overnight	53.9618539219321	8	3.848990941251147
7	M	sunny	morning rush	58.063879607583566	5	2.671351163365019
8	W	sunny	overnight	75.59463414818946	4	6.908595124602792
9	Fr	sunny	overnight	33.18430702372507	3	9.058310729201638
10	Su	sunny	overnight	60.890620596641114	4	3.2043864124961963
11	Tu	sunny	overnight	61.893362668629315	8	5.769446581538053
12	W	sunny	evening rush	65.7965898025061	5	3.278653189218938
13	Fr	sunny	overnight	49.662933812400006	7	5.229346902731875
14	Fr	sunny	midday	62.45776866355194	9	5.994281776129267
15	W	snowy	midday	10.411446977822436	5	0.9405932628955394
16	M	snowy	evening rush	43.43941546662007	7	9.253466574434578
17	W	snowy	morning rush	26.687776406172926	4	1.2229942484968648
18	Sa	sunny	morning rush	60.4334549641144	1	0
19	Su	sunny	overnight	59.630109026121005	5	2.1446771202160995
20	M	sunny	midday	49.413335987645915	5	4.725906006530768
21	Tu	sunny	overnight	51.75364988655946	4	5.1953466052009
22	M	sunny	midday	63.27839256773109	6	6.327623482037058
23	Tu	sunny	midday	48.30805509425014	3	1.719782525239459
24	Su	sunny	midday	58.10023633236972	6	0
25	Fr	sunny	morning rush	29.792229934509887	4	1.5929410726288902
26	Tu	rainy	midday	63.62274969014695	3	4.0869867853403825
27	Sa	sunny	midday	81.98951149119173	5	5.4076683458704355
28	M	snowy	overnight	65.53458057875963	4	6.085131547015829
29	Th	snowy	morning rush	31.437914309944095	6	5.648704264142415
30	Su	sunny	midday	32.44893457264112	6	3.1817763586921215
31	W	sunny	morning rush	77.56598824504431	5	1.8378729156389417
32	Tu	sunny	midday	83.72827302617145	9	2.1807068927497464
33	Fr	snowy	overnight	52.98854583800506	4	10.046067675457952
34	Th	snowy	evening rush	18.118187679718215	5	6.910864881186417
35	W	sunny	midday	55.30567992171192	11	4.1466296408851004
36	Tu	snowy	midday	44.39308318644955	8	6.4631771710905515
37	Tu	rainy	overnight	46.94170514504255	5	4.983752590289398
38	Su	snowy	morning rush	41.52899257427561	10	3.5542093829790313
39	M	rainy	overnight	66.35097664175929	5	3.558539829010106
40	W	snowy	overnight	55.84976922079911	10	6.030935634144408
41	Th	sunny	overnight	45.5606383190683	6	1.598254836690201
42	W	snowy	midday	45.232873418856464	8	3.6625418271454344
43	Sa	sunny	midday	36.71763596575059	3	1.1569603619692805
44	Fr	snowy	overnight	96.81998142360374	4	10.03923616904637
45	Fr	sunny	morning rush	66.11366379022803	3	6.730570936354633
46	M	sunny	morning rush	67.24662170638001	1	2.7921499237587657
47	Sa	sunny	overnight	52.133559096641015	4	0
48	W	sunny	evening rush	68.23879765223131	7	3.9860089168352912
49	M	sunny	overnight	40.41307772799026	6	7.0471041276553414
50	W	sunny	overnight	55.5309479608774	4	4.428919758503497
51	Sa	sunny	midday	54.48226827919194	3	6.256029551770248
52	Fr	sunny	midday	53.59309460939993	7	3.306102003495891
53	Su	sunny	midday	78.1835532956334	5	1.4619205029232134
54	M	sunny	midday	46.94069240006406	5	2.641733129609382
55	Su	rainy	morning rush	39.0291231209787	7	0.07264361588276591
56	M	sunny	midday	51.42956736147608	4	4.506517651195311
57	Th	sunny	midday	33.23394379136281	4	1.6328435659115301
58	Fr	sunny	morning rush	39.42293620668448	6	1.9417062152013718
59	Th	sunny	evening rush	71.64205291594165	8	1.3201263044961957
60	Su	sunny	evening rush	50.429401637550065	11	3.439539820397086
61	M	snowy	morning rush	51.46210370604113	2	4.488698887184334
62	Th	sunny	morning rush	73.56831632777302	4	2.8129595610515894
63	M	sunny	midday	60.20770876327414	9	2.2162590082728477
64	Tu	sunny	evening rush	67.57501873708786	6	4.632781673892147
65	Th	sunny	midday	51.01693211522113	6	2.8608625362023865
66	Th	sunny	midday	45.99666928351654	10	1.9486968287365718
67	Fr	sunny	evening rush	69.44904629140065	3	7.164990765544045
68	M	sunny	midday	51.93153207887713	7	3.08404359902462
69	Sa	sunny	midday	38.00060269612423	5	3.306963631330303
70	W	sunny	evening rush	50.1204596812142	6	1.5149485470838668
71	Tu	sunny	morning rush	29.32714130676014	1	1.46436057032329
72	Th	sunny	overnight	74.18531663573742	4	2.698533403953665
73	Su	sunny	evening rush	51.42223605920598	5	2.2645273868549025
74	M	sunny	overnight	75.33509933983095	7	2.9249872201917495
75	Fr	snowy	evening rush	49.18095998200736	3	6.9397915494655065
76	Sa	sunny	morning rush	45.348624671539305	8	1.0134654515387895
77	W	sunny	morning rush	46.86375504422865	3	0.8147868094226671
78	Sa	snowy	evening rush	60.20117388311243	6	3.1824605440047904
79	Tu	snowy	midday	33.711423982384915	1	2.842868984471754
80	Su	sunny	midday	62.70642352083018	3	2.470304644049328
81	Sa	sunny	midday	48.197956135982395	1	0.7345230436580108
82	Tu	rainy	midday	44.938484602052036	4	5.599331759335706
83	W	sunny	midday	44.04824871788642	8	0
84	Tu	sunny	overnight	47.33196063696857	8	2.42610294176646
85	M	snowy	midday	52.906766784335304	4	5.074091245953766
86	Tu	sunny	overnight	47.75391674697543	5	5.882515358800241
87	Fr	snowy	morning rush	52.07460762001494	5	6.810543884696773
88	Th	sunny	overnight	36.11286292288629	4	2.6958818578085966
89	Fr	snowy	midday	67.59430352079377	7	5.63034036155683
90	W	snowy	midday	50.10270990392466	6	8.071451663139388
91	W	rainy	morning rush	52.744785308801696	5	4.739736417281439
92	W	sunny	overnight	40.927453533832974	3	1.1785342544185156
93	W	snowy	overnight	64.12752748759766	3	5.704752662642577
94	Su	sunny	overnight	52.34945499285275	6	2.0227644469169515
95	Tu	sunny	midday	60.257825273404556	2	0.6992122949548709
96	Tu	sunny	evening rush	46.49763277264364	5	9.187543766457104
97	W	sunny	midday	74.36998817754845	4	0.8433271308599056
98	Fr	rainy	overnight	37.1230388667021	3	5.168858473831848
99	W	sunny	evening rush	49.663346185596794	9	5.31881168600704
100	Fr	snowy	overnight	53.88860165699544	2	5.722356172951686
101	Fr	rainy	morning rush	37.515399867555466	5	4.919769568266509
102	Su	sunny	midday	44.260443300425884	2	0.4643692076099373
103	Su	snowy	morning rush	49.044664371395754	5	2.3154472642210067
104	Sa	sunny	overnight	48.92555624280767	4	5.780092543879148
105	Su	sunny	midday	69.52824858518383	5	3.381723067049433
106	Th	rainy	midday	57.58418387494386	4	3.678859511556377
107	Th	rainy	morning rush	28.324374284648385	2	6.129492437741477
108	Sa	rainy	morning rush	49.55839860946587	5	4.3012035783025135
109	Tu	snowy	midday	16.2098915928826	2	4.50189979172788
